faq_id,category,sub_category,question,answer,tags,urgency_match,related_faq_ids,last_updated,helpful_votes,source_doc
FAQ-B001,billing,refund,"How do I request a refund?","To request a refund, log in to your NovaTech portal and go to Account > Billing > Request Refund. Fill in your Order ID, reason for refund, and any supporting details. Refunds are processed within 5–7 business days to your original payment method. You will receive a confirmation email once the request is reviewed.","refund,billing,payment,money back",low|medium,FAQ-B002|FAQ-B005,2025-03-01,342,refund_policy.pdf
FAQ-B002,billing,refund,"How long does a refund take?","Refund processing times depend on the type: Duplicate charges are resolved in 1–2 business days. Standard refunds take 3–5 business days to process and 5–7 business days to reflect in your account. Partial/pro-rated refunds take 7–10 business days. Bank processing time varies by your financial institution.","refund,timeline,processing time,how long",low|medium,FAQ-B001|FAQ-B005,2025-03-01,289,refund_policy.pdf
FAQ-B003,billing,refund,"Can I get a refund on an annual plan?","Annual plan refunds are available on a pro-rated basis if requested within 30 days. After 30 days, refunds are granted only for documented service failures. To calculate your pro-rated amount, divide the annual fee by 365 and multiply by remaining days. Submit the request via the portal with your subscription ID.","annual plan,refund,pro-rated,yearly",low|medium,FAQ-B001|FAQ-B004,2025-02-15,178,refund_policy.pdf
FAQ-B004,billing,subscription,"How do I cancel my subscription?","You can cancel your subscription at any time from Settings > Subscription > Cancel Plan. Your plan remains active until the end of the current billing period. For immediate cancellation with a pro-rated refund, select 'Cancel Immediately' and confirm. You will receive a cancellation confirmation email.","cancel,subscription,stop billing,cancel plan",low,FAQ-B003|FAQ-B005,2025-02-20,415,cancellation_policy.pdf
FAQ-B005,billing,subscription,"Will I be charged after cancelling?","No. Once you cancel, no future charges are made. Your service continues until the end of the paid billing period. If you chose immediate cancellation, you will receive a pro-rated refund for unused days. You will also receive a final invoice for any usage-based charges incurred before cancellation.","cancel,charge,billing,after cancellation",low,FAQ-B004,2025-02-20,256,cancellation_policy.pdf
FAQ-B006,billing,invoice,"How do I download my invoice?","Log in to the portal and navigate to Account > Billing > Invoices. All invoices are listed by date. Click on any invoice to view and download it as a PDF. Invoices are auto-generated within 5 minutes of each payment. If an invoice is missing, click 'Regenerate Invoice' or contact billing@novatech.io.","invoice,download,receipt,billing,PDF",low,FAQ-B007,2025-03-01,198,account_help_guide.pdf
FAQ-B007,billing,invoice,"My invoice shows the wrong amount. What do I do?","If your invoice amount is incorrect, email billing@novatech.io with your invoice number and the expected vs. actual amount. Common causes include discounts not applied, wrong plan billed, or currency conversion issues. Our billing team issues a corrected invoice or credit note within 3 business days.","invoice,wrong amount,billing error,incorrect charge",medium,FAQ-B006|FAQ-B008,2025-02-15,134,payment_resolution_guide.pdf
FAQ-B008,billing,payment,"I was charged twice. What should I do?","If you see a duplicate charge, check your bank statement for two identical amounts on the same date. Then go to Portal > Billing > Request Refund and select 'Duplicate Charge'. Include both transaction IDs. Duplicate charges are resolved within 1–2 business days. If the charge came from your bank's processing, it may resolve automatically within 24 hours.","duplicate charge,double charge,charged twice,billing error",high,FAQ-B007,2025-03-01,223,payment_resolution_guide.pdf
FAQ-B009,billing,payment,"What payment methods does NovaTech accept?","NovaTech accepts Visa and Mastercard credit and debit cards, UPI (Google Pay, PhonePe, Paytm), Net Banking, PayPal (international customers), and bank transfers (NEFT/RTGS for enterprise accounts). All transactions are secured with 256-bit SSL encryption. You can manage payment methods at Settings > Payment Methods.","payment method,credit card,UPI,PayPal,debit card",low,,2025-02-01,312,payment_resolution_guide.pdf
FAQ-B010,billing,payment,"My payment failed. How do I retry?","First, check the reason for failure: insufficient funds, expired card, or bank block. Update your payment details at Settings > Payment Methods if needed. Then go to Billing > Outstanding Invoices > Retry Payment. If the issue persists, contact your bank or try a different payment method. NovaTech retries failed payments up to 3 times over 3 days.","payment failed,declined,retry payment,billing",medium,FAQ-B009,2025-03-01,267,payment_resolution_guide.pdf
FAQ-T001,technical,api,"Why is my API returning a 403 Forbidden error?","A 403 error means your API key exists but lacks the required permission scope. Check your key's assigned scopes at Portal > Developer > API Keys > Edit. Ensure the endpoint you are calling requires a scope your key includes (e.g., 'data:read', 'data:write'). If you need additional scopes, update the key or create a new key with the required permissions.","API,403,forbidden,permission,scope",high,FAQ-T002|FAQ-T003,2025-03-01,445,troubleshooting_manual.pdf
FAQ-T002,technical,api,"Why am I getting a 401 Unauthorized error?","A 401 error means your API key is missing, malformed, or invalid. Verify the Authorization header format: 'Authorization: Bearer YOUR_API_KEY'. Check for trailing spaces or newline characters in the key. Regenerate your API key at Portal > Developer > API Keys if necessary. Old keys are invalidated when rotated.","API,401,unauthorized,authentication,API key",high,FAQ-T001|FAQ-T003,2025-03-01,389,troubleshooting_manual.pdf
FAQ-T003,technical,api,"I'm hitting rate limits (429 error). What can I do?","A 429 error means you have exceeded your plan's rate limit. Basic plan allows 60 requests/min; Pro allows 300/min. Solutions: implement exponential backoff using the retry-after header, cache repeated responses, reduce polling frequency, or upgrade your plan. Burst requests are temporarily allowed (up to 100 req/10 sec on Basic, 500 on Pro).","rate limit,429,too many requests,throttle",medium|high,FAQ-T001|FAQ-T004,2025-03-01,312,troubleshooting_manual.pdf
FAQ-T004,technical,api,"How do I get my API key?","Log in and navigate to Portal > Developer > API Keys > Create New Key. Give the key a descriptive name, select the required scopes, and click Create. The key is shown only once — copy it immediately and store it securely. You can create multiple keys for different environments (production, staging, development).","API key,developer,generate key,access key",low,FAQ-T001|FAQ-T002,2025-03-01,523,account_help_guide.pdf
FAQ-T005,technical,authentication,"I can't log in to my account. What should I try?","Try these steps in order: (1) Confirm you are using the correct registered email. (2) Click 'Forgot Password' and use the reset link (valid 30 min). (3) Clear browser cache and cookies and retry. (4) Disable VPN if active. (5) Check if your account is locked — 5+ failed attempts cause a 30-minute lockout. If still unable to log in, contact support@novatech.io with your account email.","login,can't log in,password,access,locked",high,FAQ-T006|FAQ-T007,2025-03-01,678,account_help_guide.pdf
FAQ-T006,technical,authentication,"How do I reset my password?","Click 'Forgot Password' on the login page and enter your registered email. A reset link is sent within 2 minutes (check spam if not received). The link expires in 30 minutes. Click it, enter your new password (minimum 8 characters, one uppercase, one number, one symbol), and confirm. All active sessions are logged out upon password change.","password reset,forgot password,change password",medium,FAQ-T005,2025-03-01,534,account_help_guide.pdf
FAQ-T007,technical,authentication,"I lost my 2FA authenticator. How do I recover access?","If you saved your backup codes, enter one of those on the 2FA screen. If backup codes are also unavailable, contact support@novatech.io with your account email, a copy of a valid government ID, and a selfie for identity verification. Our team will verify your identity via a scheduled video call and disable 2FA so you can re-setup access.","2FA,two factor,authenticator,recovery,backup codes",high,FAQ-T005|FAQ-T006,2025-03-01,287,account_help_guide.pdf
FAQ-T008,technical,integration,"My webhooks are not firing. How do I debug this?","Check these in order: (1) Verify webhook URL is correct and publicly reachable (test with curl). (2) Confirm your server returns HTTP 200 within 10 seconds. (3) Review webhook logs at Portal > Developer > Webhooks > Event Log for error details. (4) Ensure NovaTech IPs are whitelisted on your firewall: 103.21.244.0/22, 198.41.128.0/17. NovaTech retries failed webhooks 5 times with exponential backoff.","webhook,integration,not firing,webhook debug",high,FAQ-T009,2025-03-01,234,troubleshooting_manual.pdf
FAQ-T009,technical,integration,"How do I test my webhook setup?","Go to Portal > Developer > Webhooks > Test Webhook. Select the event type and click Send Test. Your endpoint will receive a sample payload. Review the response in the Event Log. You can also use tools like webhook.site or ngrok for local development testing. Ensure your endpoint processes and responds before the 10-second timeout.","webhook,test,integration,developer",low,FAQ-T008,2025-03-01,189,troubleshooting_manual.pdf
FAQ-T010,technical,performance,"My API responses are slow. What could be causing this?","Expected response times: P50 < 200ms, P95 < 800ms. If you are seeing consistent latency above this: (1) Use the nearest regional endpoint for your location. (2) Enable gzip compression: Accept-Encoding: gzip. (3) Use field selection to reduce payload size. (4) Check status.novatech.io for any ongoing incidents. (5) Contact support with your account ID and sample request IDs for server-side investigation.","slow API,performance,latency,response time",medium,FAQ-T003,2025-03-01,198,troubleshooting_manual.pdf
FAQ-G001,general,account,"How do I invite team members?","Go to Settings > Team > Invite Members. Enter the email address and select a role (Owner, Admin, Developer, Billing Manager, Member, or Viewer). An invitation email is sent with a 48-hour expiry link. Invitees must already have or create a NovaTech account. You can manage existing members and change their roles at Settings > Team at any time.","team,invite,members,collaborate,users",low,FAQ-G002,2025-03-01,312,account_help_guide.pdf
FAQ-G002,general,account,"What are the different user roles and their permissions?","NovaTech has 6 roles: Owner (full access including account deletion and billing), Admin (full access, no deletion), Developer (API keys, webhooks, technical settings, no billing), Billing Manager (billing, invoices, payment methods), Member (product use only), Viewer (read-only). Role assignment is done by Owner or Admin at Settings > Team.","roles,permissions,admin,developer,user roles",low,FAQ-G001,2025-03-01,267,account_help_guide.pdf
FAQ-G003,general,data,"How do I export my data?","Go to Settings > Data > Export All Data. This exports all account activity, API usage logs, billing history, and stored content as a ZIP file delivered to your registered email within 24 hours. The export is in JSON and CSV formats for easy processing. Enterprise customers can schedule recurring exports via the API.","data export,download data,backup,export",low,FAQ-G004,2025-03-01,234,account_help_guide.pdf
FAQ-G004,general,data,"How is my data stored and protected?","NovaTech stores data in ISO 27001 certified data centers with AES-256 encryption at rest and TLS 1.3 in transit. Data is replicated across multiple availability zones for durability. We comply with GDPR, CCPA, and India's PDPB regulations. Customer data is never sold or shared with third parties. Security reports are available at novatech.io/security.","data security,privacy,encryption,GDPR,compliance",low,FAQ-G003,2025-03-01,345,account_help_guide.pdf
FAQ-G005,general,plans,"What is the difference between the Basic, Pro, and Enterprise plans?","Basic: 5,000 API calls/day, 3 team members, 5 GB storage, email support (48h). Pro: 50,000 API calls/day, 20 team members, 100 GB storage, priority support (4h), custom domain, 30-day audit logs. Enterprise: Unlimited API calls, unlimited team members, custom storage, dedicated CSM, 99.99% SLA, 365-day audit logs. See novatech.io/pricing for full comparison.","plans,pricing,basic,pro,enterprise,comparison",low,,2025-03-01,589,account_help_guide.pdf
FAQ-G006,general,plans,"Is there a free trial?","Yes. NovaTech offers a 14-day free trial with access to all Pro plan features. No credit card is required to start. At the end of the trial, you choose a plan to continue or your account moves to a free tier with Basic limits. Trial accounts are limited to 10 team members and 10,000 API calls per day.","free trial,trial,14 days,no credit card",low,,2025-03-01,478,account_help_guide.pdf
FAQ-G007,general,support,"How do I contact customer support?","NovaTech offers multiple support channels: Live Chat (available in the portal, Mon–Fri 9AM–9PM IST), Email (support@novatech.io, response within 48h on Basic, 4h on Pro), Phone (+91-80-4567-8900, Mon–Fri 9AM–6PM IST, Pro and Enterprise only), and the Help Center at help.novatech.io. Enterprise customers have a dedicated Customer Success Manager.","contact,support,help,customer service,phone",low,,2025-03-01,423,account_help_guide.pdf
FAQ-U001,urgent,outage,"The service is completely down. What do I do?","First, check status.novatech.io for any active incidents. If an incident is already posted, follow updates there. If no incident is listed, contact us immediately: Phone (+91-80-4567-8900 — 24/7 for Enterprise, business hours for others) or Email urgent@novatech.io. Include your account ID, region, and a description of the failure. Production outages are Tier 3 escalations with a 2-hour resolution SLA.","outage,down,service unavailable,production down,critical",critical,FAQ-U002,2025-03-01,567,escalation_handbook.pdf
FAQ-U002,urgent,outage,"How do I check NovaTech's service status?","Visit status.novatech.io for real-time status of all NovaTech services. You can subscribe to status updates via email or Slack at the bottom of that page. Historical uptime data and past incident reports are also available. Automated status alerts are posted within 5 minutes of a detected incident.","status,uptime,incident,outage,service health",critical,FAQ-U001,2025-03-01,345,troubleshooting_manual.pdf
